,eq
173,"\begin{eq}{l}
{1\over \mu}{d\over dx} g(x)= g(x),~~
 {1\over \mu^2}  {\p^2\over  \p\rvec x^2} g(\rvec x)= g(\rvec x)
,~~ {1\over \mu}  {\p\over  \p\rvec x} g(\rvec x)= g(\rvec x)

\"
174,"\begin{eq}{rrl}
\hbox{time $\R$:}&{m\over q}=1&\then q=m\cr
\hbox{position $\R^3$:}&{\mu\rvec q\over \rvec q^2}=\bl 1_2,~~
{\mu^2\over \rvec q^2}=1
&\then \rvec q^2=\mu^2\cr
\hbox{spacetime $\R^{1+s}$:}&{mq\over  q^2}=\bl1_2,~~
{m^2\over q^2}(\bl 1_{1+s}-{q\ox\d q\over q^2})
=(\bl 1_{1+s}-{q\ox\d q\over q^2})
&\then q^2=m^2\cr
\"
175,"\begin{eq}{l}
\tilde  l_0:\tilde{\cl G}\map \tilde{\cl G}',~~\tilde g\mape
\tilde l_0*\tilde g
 \"
176,"\begin{eq}{l}
\tilde l_0*\tilde g(q)=1\then q=\mu\cr
\"
177,"\begin{eq}{rrl}
{m\over q}:~\R_\od\to \R:&{1\over q-M}\mape {m\over q}~
\stackrel{\rm R}*~{1\over q-M}
&={m\over q-M}\cr
& {m\over q-M}=1&\then q=M+m
\"
178,"\begin{eq}{l}
H={\rvec p^2\over 2}-{1\over r_\ro P},~~
{1\over r_\ro P}=\int {d^3 q\over 2\pi^2}~{1\over \rvec q^2}
e^{-i\rvec q\rvec x}\cr
\"
179,"\begin{eq}{l}
H g(\rvec x)=E g(\rvec x)\iff
[{\rvec q^2\over 2}-{i\over \rvec q^2}
\hskip.2mm\stackrel{\rm R}*\hskip.7mm] \tilde g(\rvec q)
=E\tilde g(\rvec q)\hbox{ with }\stackrel{\rm R}*={*\over 2i\pi^2}
\"
180,"\begin{eq}{l}
{i\over \rvec q^2}~\stackrel{\rm R}*~\tilde g(\rvec q)=\tilde l(\rvec q)
\hbox{ with }\left\{\begin{array}{rl}
\tilde g(\rvec q)&\in
\{{\SUM_{n=0}^{N}}{a_{-2-n}\over (\rvec q^2+\mu^2)^{2+n}}\mid a_{-2-n}\in\C\}\cr
\tilde l(\rvec q)&
\in\{{\SUM_{n=1}^{N}}{a_{-1-n}\over (\rvec q^2+\mu^2)^{1+n}}\mid a_{-1-n}\in\C\}
\end{array}\right.\cr
\hbox{e.g. for }
g(x)=\int{d^3q\over 2\pi^2}{2\mu\over (\rvec q^2+\mu^2)^2}e^{-i\rvec q\rvec x}
=e^{-\mu r}\then
{i\over \rvec q^2}~\stackrel{\rm R}*~
{2\mu\over (\rvec q^2+\mu^2)^2}
={1\over \rvec q^2+\mu^2}
\"
181,"\begin{eq}{l}
[{\rvec q^2\over 2}
-{i\over \rvec q^2}
~\stackrel{\rm R}*~]{1\over (\rvec q^2+\mu^2)^2}
=E {1\over (\rvec q^2+\mu^2)^2}\iff
{\rvec q^2\over 2} -{\rvec q^2+\mu^2\over 2\mu}=E

\then \left\{\begin{array}{rl}
E&=-{\mu^2\over 2}\cr
\mu&=1\cr
\end{array}\right.
\"
182,"\begin{eq}{l}
\hbox{spacetime: }
\int_0^1 d\ze~{1\over q^2\ze-m^2}={\log(1-{q^2\over m^2})\over q^2}
\"
183,"\begin{eq}{rl}
\rvec F(\rvec x)=-{\p\over\p \rvec x} V_3(r),~~
V_3(r)&
=\int_{m_3^2}^{m_0^2}dm^2(m_0^2-m^2)\int{d^3q\over 2\pi^2}{1
\over (\rvec q^2+m^2)^3}e^{-i\rvec q\rvec x}\cr
&={e^{-  |m_0|r}
-e^{-  |m_3|r}\over r}
+{m_0^2-m_3^2\over 2|m_3|}e^{-  |m_3|r}\cr
\"
184,"\begin{eq}{rl}
V_3(r)=-{d\over dr^2}V_1(r),~~
V_1(z)&
=\int_{m_3^2}^{m_0^2}dm^2(m_0^2-m^2)\int{dq\over \pi}{2
\over (\rvec q^2+m^2)^3}e^{-iqz}\cr
&=\int_{m_3^2}^{m_0^2}dm^2(m_0^2-m^2)({d\over dm^2})^2{e^{-|mz|}\over |m|}\cr
&=2{e^{-  |m_0z|}\over |m_0|}
-\left[2
-{m_0^2-m_3^2\over m_3^2}
(1+|m_3z|)\right]{e^{-  |m_3z|}\over |m_3|}

\"
185,"\begin{eq}{rl}
{q\over q^2}:\R_\od^2\to \R^2:&{q\over q^2}
~{\stackrel{\rm R}*}~
\int_{m_3^2}^{m_0^2}dm^2~
{ q\over(q^2-m^2)^2}\cr
&\hskip4mm=-({1\over 2}\bl1_2+q\ox \d q{\p\over\p q^2})
\int_{m_3^2}^{m_0^2}dm^2\int_0^1 d\ze~{1\over q^2\ze-m^2 }
\cr

{q\over q^2}:\R_\od^4\to \R ^4:&
{q\over q^2}~{\stackrel{\rm R}*}~\int_{m_3^2}^{m_0^2}dm^2(m_0^2-m^2)
{2q \over(q^2-m^2)^3}\cr
&\hskip4mm=-({1\over 2}\bl1_4+q\ox \d q {\p\over\p q2})
\int_{m_3^2}^{m_0^2}dm^2(m_0^2-m^2)
\int_0^1 d\ze  { 1-\ze\over q^2\ze-m^2 }\cr

\"
186,"\begin{eq}{l}
m_0^2\cong 1,~~
{q\over |m_0|}\cong q,~~{m_3^2\over m_0^2}\cong m_3^2
\"
187,"\begin{eq}{l}
\tilde l_\bl 1(q^2)
={M^2({1\over q^2})\over q^2}=\left\{\begin{array}{lll}
-\int_{m_3^2}^{1}{dm^2\over2}&\int_0^1 d\ze~{1\over q^2\ze-m^2}
&\hbox{for }\R^2\cr
-\int_{m_3^2}^{1}{dm^2(1-m^2)\over 2}&
\int_0^1 d\ze  { 1-\ze\over q^2\ze-m^2 }
&\hbox{for }\R^4\cr\end{array}\right.\cr
\cr
\"
188,"\begin{eq}{l}
1=\tilde l_\bl 1(0)=\left\{\begin{array}{cllll}
-{\log  m_3^2\over2}&\then {m_3^2\over m_0^2}&=e^{-2}&\sim {1\over 7.4}
&\hbox{for }\R^2\cr
-{\log  m_3^2+1-m_3^2\over 4}
&\then {m_3^2\over m_0^2}&\sim e^{-5}&\sim{1\over 148.4}
&\hbox{for }\R^4\cr\end{array}\right.
\"
189,"\begin{eq}{rl}
 e^{ im t}
&=\oint {dq \over 2i\pi }{1\over  q-m } e^{i qt}\cr
={\SUM_{k=0}^\infty}{(im t)^k\over k!}
&=\oint {dq\over 2i\pi }{1\over q}
{\SUM_{k=0}^\infty}{m^k\over q^k} e^{i qt}
\"
190,"\begin{eq}{l}
z\mape {1\over z}=w\mape  {w\over 1-w}
={1\over z-1},\hbox{ e.g. }z={q\over m}, {q^2\over m^2}
\"
191,"\begin{eq}{l}
\ol\C\ni z\mape {\al z+\be\over \ga z+\de}\in\ol\C
\"
192,"\begin{eq}{l}
A={\scriptsize \pmatrix{\al&\be\cr\ga&\de\cr}}\in
 \SL(\R^2)\sim \SU(1,1)\sim \SO(1,2)
 \"
193,"\begin{eq}{l}
{\scriptsize \pmatrix{\al&\be\cr\ga&\de\cr}}
={\scriptsize \pmatrix{1&0\cr -1&1\cr}} :~~
w\mape {w\over -w+1},~~1\mape\infty,~~0\lrmap 0
\"
194,"\begin{eq}{l}
z\mape l(z)\mape {l(z)\over 1-l(z)}
\"
195,"\begin{eq}{rcl}
l(z)=&1+(z-z_0)l'(z_0)&+{\SUM_{k=2}^\infty}
{(z-z_0)^k\over k!}f^{(k)}(z_0)\cr
{l(z)\over 1-l(z)}=&
{a_{-1}(z_0)\over z-z_0}&+{\SUM_{k=0}^\infty}
(z-z_0)^ka_k(z_0)\cr
a_{-1}(z_0)=&-{1\over l'(z_0)}\hfill&
\"
196,"\begin{eq}{l}
z\mape\l(z)\mape {l(z)\over 1-l(z)}\mape {\SUM_{z_k}}{\al_{-1}(z_k)\over z-z_k}
\"
197,"\begin{eq}{l}
{\tilde l_0*\over 1-\tilde l_0*}:\tilde{\cl G}\map \tilde{\cl G}',~~~\left\{\begin{array}{rl}
\tilde g&\mape\tilde l_0*\tilde g\cr
\tilde l_0*\tilde g(q^2)&=1+(q^2-m^2){d\over dq^2}\tilde l_0*\tilde g(m^2)+\dots\cr
 \tilde g(q^2)&\mape {\tilde l_0*\tilde g(q^2)\over 1- \tilde l_0*\tilde g(q^2) }
={a_{-1}(m^2)\over q^2-m^2}+\dots\cr
-{1\over a_{-1}(m^2)}&={d\over dq^2}\tilde l_0*\tilde g(m^2)
\end{array}\right.
\"
198,"\begin{eq}{l}
-{1\over a_{-1}(0)}=
{\p\over\p q^2}\tilde l_\bl 1(0)=\left\{\begin{array}{clll}
{1-m_3^2\over 4m_3^2}&={e^2-1\over 4}&\sim 1.6&\hbox{for }\R^2\cr
{1-6m_3^2+m_3^4\over 12 m_3^2}&\sim{e^5\over 12}&\sim 12.4
&\hbox{for }\R^4\cr\end{array}\right.
\"
199,"\begin{eq}{rll}
{{q\over q^2}*\over 1-{q\over q^2}*}:\R^2_\od\map\SO_0(1,1)\sx\R^2:&\int_{m_3^2}^1dm^2~
{ q\over(q^2-m^2)^2}
&\mape \bl 1_2 {a_{-1}(0)\over q^2}+\dots\cr
{{q\over q^2}*\over 1-{q\over q^2}*}:\R^4_\od\map\SO_0(1,3)\sx\R^4:&\int_{m_3^2}^1dm^2~
{ (1-m^2)2q\over(q^2-m^2)^3}
&\mape \bl 1_4 {a_{-1}(0)\over q^2}+\dots
\"
200,"\begin{eq}{l}
 -\eta^{jk}=\left\{\begin{array}{rll}
 {\scriptsize\pmatrix{-1&0\cr0&1\cr}}&\cong {\scriptsize\pmatrix{0&1\cr 1&0\cr}}
 &\hbox{for }\SO_0(1,1)\sx\R^2\cr
 {\scriptsize\pmatrix{-1&0\cr0&\bl 1_3\cr}}&
 \cong {\scriptsize\pmatrix{0&0&1\cr
 0&\bl1_2&0\cr1&0&0\cr}}
 &\hbox{for }\SO_0(1,3)\sx\R^4\cr
\end{array}\right.
\"
201,"\begin{eq}{l}
\SO_0(1,3)\sx\R^4:~~ -\eta^{jk}{e^2(0)\over q^2}
\hbox{ with }{1\over e^2(0)}={1\over 4\pi\al}\sim{137\over 12.6}\sim 10.9
\"
