In fact, we can compute various perturbative diagrams by preparing a
particular class of gaussian external states given by $M=M_{0},M^{gh}=%
\varepsilon M_{0}^{gh}$, where these matrices were given in Eqs.(\ref
{eq:total_L0}). If we also take $\bar{\lambda}=(-iw_{e}p,0),\lambda ^{gh}=0$%
, this external field represents perturbative vacuum ${\hat{c}}_{1}|p,\Omega
\rangle $ with momentum $p,$ which represents the perturbative tachyon with
proper normalization 
\begin{eqnarray}
&&A_{p}(\xi ) =2^{N(d-2)}(1+\bar{w}w)^{-{\frac{d+2}{8}}}e^{ip\bar{x}}e^{-%
\bar{\xi}M_{0}\xi +ipw_{e}x_{e}}e^{-\bar{\xi}^{gh}\varepsilon M_{0}^{gh}\xi
^{gh}}\,,~~~\mathrm{Tr}(A_{p}(\xi )^{\dagger }\star A_{p}(\xi ))=1\,.~~~~~~
\label{eq:perturbative_vacuum_even}
%&&~~\mathrm{Tr}(A_{p}(\xi )^{\dagger }\star A_{p}(\xi ))=1\,.
\end{eqnarray}
We omitted an overall $\xi _{0}$ because it drops out in the Siegel gauge
action (\ref{eq:action_in_MSFT0}). Excited states (that correspond to
polynomials multiplying this $A_{p}(\xi )$) can be obtained by
differentiating $A_{p}(\xi )e^{-\bar{\xi}\lambda -\bar{\xi}^{gh}\lambda
^{gh}}$ with respect to general $\lambda ,\lambda ^{gh}$ appropriately, and
then setting $\lambda =(-iw_{e}p,0),\lambda ^{gh}=0$. Therefore an explicit
computation of Feynman graphs with general $\lambda ,\lambda ^{gh},M,M^{gh}$
has many physical applications.

\paragraph{$\protect\tau$-evolved monoid element}

It is convenient to have a $\tau $-evolved formula for a gaussian Eq.(\ref
{eq:monoid_total}) to compute Feynman graphs in $\xi $-basis \cite{BKM1}. We
can derive it explicitly by evaluating: 
\begin{eqnarray}
&&e^{-\tau L_{0}}A_{\mathcal{N},M,\lambda ,M^{gh},\lambda ^{gh}}(\xi ) 
\notag \\
&=&\int d^{2Nd}\eta \,d^{4N}\eta ^{gh}\,e^{-i\bar{\xi}\eta }e^{\bar{\xi}%
^{gh}\eta ^{gh}}\left( \int d^{2Nd}\eta^{\prime }\,d^{4N}{\eta'}^{gh}
\Delta (\eta ,\eta ^{\prime },\tau ,p)\,\tilde{A}_{\mathcal{N},M,\lambda
,M^{gh},\lambda ^{gh}}(\eta ^{\prime })\right) \,,  \notag \\
&&\tilde{A}_{\mathcal{N},M,\lambda ,M^{gh},\lambda ^{gh}}(\eta )=\int {\frac{%
d^{2Nd}\xi }{(2\pi )^{2Nd}}}\,d^{4N}\xi ^{gh}\,e^{-i\bar{\xi}\eta }e^{\bar{%
\xi}^{gh}\eta ^{gh}}A_{\mathcal{N},M,\lambda ,M^{gh},\lambda ^{gh}}(\xi )\,.
\end{eqnarray}
By gaussian integration we have the following formula 
\begin{equation}
e^{-\tau L_{0}}A_{\mathcal{N},M,\lambda ,M^{gh},\lambda ^{gh}}(\xi )=%
\mathcal{N}\mathcal{N}^{m}(\tau )\mathcal{N}^{gh}(\tau )\,e^{ip\bar{x}}e^{-%
\bar{\xi}M(\tau )\xi -\bar{\xi}\lambda (\tau )}e^{-\bar{\xi}^{gh}M^{gh}(\tau
)\xi ^{gh}-\bar{\xi}^{gh}\lambda ^{gh}(\tau )}~~
\end{equation}
where 
\begin{align}
M\!\left( \tau \right) & =\left[ \sinh \tau \tilde{\kappa}+\left( \sinh \tau 
\tilde{\kappa}+M_{0}M^{-1}\cosh \tau \tilde{\kappa}\right) ^{-1}\right]
\left( \cosh \tau \tilde{\kappa}\right) ^{-1}M_{0}\,,   \\
\lambda \!\left( \tau \right) & =\left[ \left( \cosh \tau \tilde{\kappa}%
+MM_{0}^{-1}\sinh \tau \tilde{\kappa}\right) ^{-1}\left( \lambda +iwp\right) %
\right] -iwp\,,   \\
\mathcal{N}^{m}\!\left( \tau \right) & =\frac{e^{-\frac{1}{2}%
l_{s}^{2}p^{2}\tau }~\exp \left[ \frac{1}{4}\left( \bar{\lambda}+ip\bar{w}%
\right) \left( M+\coth \tau \tilde{\kappa}~M_{0}\right) ^{-1}\left( \lambda
+iwp\right) \right] }{\det \left( \frac{1}{2}\left( 1+MM_{0}^{-1}\right) +%
\frac{1}{2}\left( 1-MM_{0}^{-1}\right) e^{-2\tau \tilde{\kappa}}\right)
^{d/2}}
\end{align}
for the matter sector \cite{BKM1}\footnote{%
We supposed that $M$ is Lorentz symmetric.} and 
\begin{align}
M^{gh}(\tau )=& \left[ \sinh \tau {\tilde{\kappa}^{gh}+\left( \sinh \tau 
\tilde{\kappa}^{gh}+\varepsilon M_{0}^{gh}M^{gh-1}\cosh \tau \tilde{\kappa}%
^{gh}\right) }^{-1}\right] (\cosh \tau \tilde{\kappa}^{gh})^{-1}\varepsilon
M_{0}^{gh}\,,  \label{eq:tau-evolved} \\
\lambda ^{gh}(\tau )=& \left[ \cosh \tau \tilde{\kappa}^{gh}-M^{gh}%
\varepsilon M_{0}^{gh-1}\sinh \tau \tilde{\kappa}^{gh}\right] ^{-1}\lambda
^{gh}\,,   \\
\mathcal{N}^{gh}(\tau )=& \,e^{-{\frac{1}{4}}\bar{\lambda}^{gh}(M^{gh}+\coth
(\tau \tilde{\kappa}^{gh})\varepsilon M_{0}^{gh})^{-1}\lambda ^{gh}}  \notag
\\
& \times \,\left[ \det \left( {\frac{1}{2}}(1-M^{gh}\varepsilon
M_{0}^{gh-1})+{\frac{1}{2}}(1+M^{gh}\varepsilon M_{0}^{gh-1})e^{-2\tau 
\tilde{\kappa}^{gh}}\right) \right] ^{\frac{1}{2}}  
\end{align}
for ghost sector. When we consider a class of monoid such that $\bar{\xi}%
^{gh}M^{gh}\xi ^{gh}$ is $SU(1,1)$-symmetric and twist even\footnote{%
In \S \ref{sec:SU11}, we defined $SU(1,1)$-symmetric and twist even monoid
element which has $\lambda ^{gh}=0$ (\ref{eq:singlet}). Here we permit $%
\lambda ^{gh}\neq 0$ case.} then the evolved $M(\tau )$ also has this
symmetry. We can see this explicitly by noting that $f(\tilde{\kappa}%
)M_{0}^{gh}$ is a block diagonal and symmetric matrix (where $f(x)$ is an
arbitrary function). In this case with $M^{gh}=\varepsilon M^{gh^{\prime }}$%
, where $M^{gh^{\prime }}$ is a $2N\times 2N$ matrix, the above formula
becomes 
\begin{align}
M^{gh}(\tau )=& \varepsilon \left[ \sinh \tau {\tilde{\kappa}^{gh}+\left(
\sinh \tau \tilde{\kappa}^{gh}+M_{0}^{gh}M^{gh^{\prime }-1}\cosh \tau \tilde{%
\kappa}^{gh}\right) }^{-1}\right] (\cosh \tau \tilde{\kappa}%
^{gh})^{-1}M_{0}^{gh}\,,  \label{eq:tau-evolved2} \\
\lambda ^{gh}(\tau )=& \left[ \cosh \tau \tilde{\kappa}^{gh}+M^{gh^{\prime
}}M_{0}^{gh-1}\sinh \tau \tilde{\kappa}^{gh}\right] ^{-1}\lambda ^{gh}\,, 
 \\
\mathcal{N}^{gh}(\tau )=& \,e^{-{\frac{1}{4}}\bar{\lambda}^{gh}\varepsilon
(M^{gh^{\prime }}+\coth (\tau \tilde{\kappa}^{gh})M_{0}^{gh})^{-1}\lambda
^{gh}}\nonumber\\
& \times \det \left( {\frac{1}{2}}(1+M^{gh^{\prime }}M_{0}^{gh-1})+{\frac{1}{2}}
(1-M^{gh^{\prime }}M_{0}^{gh-1})e^{-2\tau \tilde{\kappa}^{gh}}\right) \,. 
\end{align}
We can use this reduced formula to compute the $\tau $-evolved monoid of $n$%
-th product of the perturbative vacuum: $e^{-\tau L_{0}}\left( A_{0}(\xi
)e^{-\bar{\xi}\lambda _{1}}\star \cdots \star A_{0}(\xi )e^{-\bar{\xi}%
\lambda _{n}}\right) $ because the coefficient matrix $M_{0}^{(n)}$
(\ref{eq:star_a2}) in the quadratic term in the exponent is proportional
to $\varepsilon $.


With the above preparation, we have all that is needed to compute the ghost
contribution in various amplitudes, by following the methods that were
developed in the matter sector in \cite{BKM1}.

\paragraph{4-tachyon amplitude}

The 4 point amplitude for tachyons is computed by putting together several
diagrams that are related to each other by permutations of the external
legs. For a typical 4-pt diagram $_{1}^{2}{>}-{<}_{4}^{3}$ the MSFT
expression is 
\begin{equation}
{}_{12}A_{34}=\int d^{d}\bar{x}\,\mathrm{Tr}\left( e^{-\tau L_{0}}\left(
A_{1}(\xi )\star A_{2}(\xi )\right) \star \left( A_{3}(\xi )\star A_{4}(\xi
)\right) \right)   \label{four}
\end{equation}
where $\tau $ is the length of the propagator. When $A_{i}(\xi
),~(i=1,\cdots,4)$ are gaussians, we can compute this quantity easily by
taking the $\star $ product between the pairs of gaussians 
(\ref{e_gh_structure}--\ref{e_gh_structure}), 
evolving by $\tau $ (\ref{eq:tau-evolved2}), and computing
the trace (\ref{eq:gaussian-trace}). At each step we only use the properties
of the monoid.

In the case of tachyons, the matter contribution was already computed in 
\cite{BKM1}. For the ghost contribution, we set the external field to 
$A_{i}^{gh}(\xi)=2^{-2N}(1+\bar{w}w)^{-{\frac{1}{4}}}\,e^{-\bar{\xi}
^{gh}\varepsilon M_{0}^{gh}\xi ^{gh}}$ and obtain 
\begin{eqnarray}
{}_{12}A_{34}^{gh} &=&(\det (2m_{0}^{gh}))^{-1}(\det
(1+(m_{0}^{gh})^{2}))^{2}  \notag \\
&&\times \left[ \det \left( 4\sinh \tau \tilde{\kappa}^{gh}\left( \left(
\cosh \tau \tilde{\kappa}^{gh}+{\frac{2}{1+(m_{0}^{gh})^{2}}}\sinh \tau 
\tilde{\kappa}^{gh}\right) ^{2}-1\right) ^{-1}e^{\tau \tilde{\kappa}%
^{gh}}\right) \right] ^{-1}  \notag \\
&=&2^{-8N}(1+\bar{w}w)^{\frac{3}{2}}\left( \det (1+3t\bar{t})\right) ^{4} 
\notag \\
&&\times \det \left( 1-\left( {\frac{t\bar{t}-1}{1+3t\bar{t}}}\,e^{-\kappa
_{e}\tau }\right) ^{2}\right) \det \left( 1-\left( {\frac{\bar{t}t-1}{1+3%
\bar{t}t}}\,e^{-\kappa _{o}\tau }\right) ^{2}\right)
\end{eqnarray}
where $m_{0}^{gh}=M_{0}^{gh}\sigma',\,t=\kappa _{e}^{1/2}T\kappa
_{o}^{-1/2}$. Including the matter sector \cite{BKM1} we obtain 
\begin{eqnarray}
{}_{12}A_{34} &=&2^{4(d-2)N}(1+\bar{w}w)^{-{\frac{d}{4}}+{\frac{3}{2}}%
}\left( \det (1+3t\bar{t})\right) ^{4}\left( \det (3+t\bar{t})\right)
^{-2d}(2\pi )^{d}\delta ^{d}(p_{1}+p_{2}+p_{3}+p_{4})  \notag \\
&&\times {\frac{\det \left( 1-\left( {\frac{t\bar{t}-1}{1+3t\bar{t}}}%
\,e^{-\kappa _{e}\tau }\right) ^{2}\right) \det \left( 1-\left( {\frac{\bar{t%
}t-1}{1+3\bar{t}t}}\,e^{-\kappa _{o}\tau }\right) ^{2}\right) }{\left[ \det
\left( 1-\left( {\frac{t\bar{t}-1}{3+t\bar{t}}}\,e^{-\kappa _{e}\tau
}\right) ^{2}\right) \det \left( 1-\left( {\frac{\bar{t}t-1}{3+\bar{t}t}}%
\,e^{-\kappa _{o}\tau }\right) ^{2}\right) \right] ^{\frac{d}{2}}}}  \notag
\\
&&\times \exp \left( -\frac{1}{2}l_{s}^{2}(p_{1}+p_{2})^{2}(\tau +\alpha
(\tau ))+l_{s}^{2}(p_{1}+p_{3})^{2}\beta (\tau )+\frac{1}{2}%
l_{s}^{2}\sum_{i=1}^{4}p_{i}^{2}\gamma (\tau )\right)
\label{eq:4-tachyon_amp}
\end{eqnarray}
where 
\begin{eqnarray}
\alpha \left( \tau \right) &=&\bar{v}\kappa _{o}^{-{\frac{1}{2}}}\biggl[\bar{%
t}\left( 1+t\bar{t}+{\frac{1}{2}}(1+t\bar{t})\,\mathrm{coth}{\frac{\tau
\kappa _{e}}{2}}\,(1+t\bar{t})\right) ^{-1}t \\
&&~~~~~+\left( 1+\bar{t}t+{\frac{1}{2}}(1+\bar{t}t)\,\mathrm{coth}{\frac{%
\tau \kappa _{o}}{2}}\,(1+\bar{t}t)\right) ^{-1}\biggr]\kappa _{o}^{-{\frac{1%
}{2}}}v\,,  \notag\\
\beta \left( \tau \right) &=&2\bar{v}\kappa _{o}^{-{\frac{1}{2}}}\biggl(%
4\sinh \tau \kappa _{o}+(1+\bar{t}t)\,\sinh \tau \kappa _{o}\,(1+\bar{t}t) \\
&&~~~~~~~~~~~~~+2(1+\bar{t}t)\cosh \tau \kappa _{o}+2\cosh \tau \kappa
_{o}\,(1+\bar{t}t)\biggr)^{-1}\kappa _{o}^{-{\frac{1}{2}}}v\,,  \notag\\
\gamma \left( \tau \right) &=&-\bar{v}\kappa _{o}^{-{\frac{1}{2}}}\,\mathrm{%
coth}{\frac{\tau \kappa _{o}}{2}}\left( 2+(1+\bar{t}t)\mathrm{coth}{\frac{%
\tau \kappa _{o}}{2}}\right) ^{-1}\kappa _{o}^{-{\frac{1}{2}}}v\,.
\end{eqnarray}
We note that the matrices $t\bar{t},\bar{t}t$ in the determinant factors in
the matter sector come out inverted in the ghost sector. By integrating with
the measure $\int_{o}^{\infty }d\tau e^{\tau }$ and adding permutations of
the diagram, we should reproduce the Veneziano amplitude\footnote{%
The expressions here are slightly further simplified than the ones in \cite
{BKM1}.} when all the tachyons are on-shell, $l_{s}^{2}p_{i}^{2}=2$ in the
open string limit $\kappa _{e}=e,\kappa _{o}=o,N=\infty $.

Our formula (\ref{eq:4-tachyon_amp}) has a counterpart in the operator
formalism. Although our expressions are simpler it is not easy to compare
results analytically because of the different formalisms. We have managed to
compare and agree with the determinant factor available in the computations
in \cite{Wati} in the operator formalism, by inserting the MSFT ghost
Neumann coefficients given in (\ref{eq:Neumann_X}) and matter Neumann
coefficients taken from \cite{BM2} 
\begin{equation}
\mathcal{M}^{(0)}={\frac{\tilde{m}_{0}^{\ast 2}-1}{{\tilde{m}}_{0}^{\ast 2}+3%
}}\,,~~~~CX^{(0)}=\sqrt{\kappa }{\frac{\tilde{m}_{0}^{\ast 2}-1}{1+3{\tilde{m%
}}_{0}^{\ast 2}}}{\frac{1}{\sqrt{\kappa }}}\,,~~~~\tilde{m}_{0}^{\ast
2}=\left( 
\begin{array}{cc}
t\bar{t} & 0 \\ 
0 & \bar{t}t
\end{array}
\right) \,.
\end{equation}
The difference of normalization compared to \cite{Wati} comes from that of
cubic term of the action (\ref{normalization}). We note that so far it has not
been demonstrated yet that either the operator formalism or the MSFT
approach reproduce the Veneziano amplitude analytically, although this is
expected to be true.

\section{Discussion}

In this paper we provided the details of the Moyal star formulation for
fermionic ghosts. Following the similar construction in the matter sector,
the split string formalism was used as an intermediate step. However, as in
the matter sector, the midpoint needed additional considerations to insure
that MSFT is in agreement with the operator formulation of string field
theory. MSFT then provides an alternative method of computation in string
field theory which is in many ways simpler and more efficient.

The regularization of the fermionic ghost sector, which is needed to avoid
the associativity anomaly, is made consistently with the matter sector. The
correctness of the formulation, including the regularization, was tested by
computing the Neumann coefficients by using MSFT methods and comparing them
to an independent computation that relies on conformal field theory. The
MSFT result generalizes the Neumann coefficients by computing them for any
set of oscillator frequencies $\kappa _{e},\kappa _{o}$ for any finite
number of oscillators $2N.$ These agree with conformal theory results in the
open string limit $\kappa _{e}=e,$ $\kappa _{o}=o,$ $N=\infty .$ The
agreement was established both analytically as well as numerically.

In numerical study of string field theory one necessarily deals with a
finite number of modes. One may debate which version of Neumann coefficients
is more consistent for such numerical study: the finite $N$ version of the
Neumann coefficients given in MSFT, or the level truncation of the infinite
Neumann matrices practiced in previous literature? The numerical analysis
that we provided could be helpful in understanding the issue and developing
the most appropriate numerical approximation scheme. We hope to address this
point, together with numerical studies of certain quantities in the near
future.

The regularized MSFT formulation is now complete in the Siegel gauge. It has
already been applied to the computation of perturbative Feynman graphs \cite
{BKM1} as well as to the analytic study of nonperturbative classical
solutions of string theory, including the nonperturbative vacuum of open
string theory \cite{BKM2}.

An open problem is the construction of a \textit{regularized} version of the
BRST operator. The regularization is indispensable to tame the associativity
anomaly and to have a well defined theory. Along with the successful
regularization in MSFT, the BRST operator is also needed to insure gauge
invariance in the general formalism, and to be able to work outside of the
Siegel gauge. In particular, the BRST operator can be used to impose the
additional gauge invariance conditions in the Siegel gauge on the
nonperturbative solutions we have obtained in \cite{BKM2}. Some of the
issues surrounding this problem are outlined following Eq.(\ref
{eq:action_bra_ket}). These remarks apply not only to MSFT, but also to any
version of string theory that uses a cutoff of the string modes (including
level truncation), since the Virasoro algebra does not close with a finite
number of modes. A substitute for the Virasoro algebra at finite $N,$ which
tends to the Virasoro algebra at infinite $N,$ is the key to solving this
problem.

\begin{center}
\noindent{\large \textbf{Acknowledgments}}
\end{center}

I.K. would like to thank H.~Hata, T.~Kawano and K.~Ohmori for valuable
discussions and comments. I.B. is supported in part by a DOE grant
DE-FG03-84ER40168. I.K. is supported in part by JSPS Research Fellowships
for Young Scientists. Y.M. is supported in part by Grant-in-Aid (\#
13640267) from the Ministry of Education, Science, Sports and Culture of
Japan.

\appendix

\section{Brief review of MSFT in matter sector\label{sec:review_app}}

\subsection{Half-string for cosine modes\label{sec:cosine}}

Here we review the split string formulation and its regularization which was
developed in \cite{BM1} and fix notation in this paper. Although it was
constructed to formulate the matter and the bosonized ghost sector, we can
apply the same formalism to fermionic functions which have a Fourier
expansion in terms of cosine mode in the full string basis.

A full string function $\phi (\sigma )$ which satisfies Neumann boundary
conditions at the end points 
\begin{equation}
\left. {\frac{d}{d\sigma }}\phi (\sigma )\right| _{\sigma =0}=\left. {\frac{d%
}{d\sigma }}\phi (\sigma )\right| _{\sigma =\pi }=0\,,
\end{equation}
has a Fourier expansion in terms of cosine modes 
\begin{equation}
\phi (\sigma )=\phi _{0}+\sqrt{2}\sum_{n=1}^{\infty }\phi _{n}\cos n\sigma
\,,~~~~~\phi _{0}={\frac{1}{\pi }}\int_{0}^{\pi }d\sigma \phi (\sigma
)\,,\quad \phi _{n}={\frac{\sqrt{2}}{\pi }}\int_{0}^{\pi }d\sigma \phi
(\sigma )\cos n\sigma \,.~~~~~~~
\end{equation}
Then split string functions $l(\sigma ),r(\sigma )$ for $\phi (\sigma )$ are
defined as 
\begin{eqnarray}
&&\phi (\sigma )=\left\{ 
\begin{array}{lc}
l(\sigma ) & \quad (0\leq \sigma \leq {\frac{\pi }{2}}) \\ 
r(\pi -\sigma ) & \quad ({\frac{\pi }{2}}\leq \sigma \leq \pi )
\end{array}
\right. \,,   \\
&&\phi _{0}={\frac{1}{\pi }}\int_{0}^{\frac{\pi }{2}}d\sigma (l(\sigma
)+r(\sigma ))\,,\qquad \phi _{n}={\frac{\sqrt{2}}{\pi }}\int_{0}^{\frac{\pi 
}{2}}d\sigma (l(\sigma )+(-1)^{n}r(\sigma ))\cos n\sigma \,.\quad
\label{eq:philrExp}
\end{eqnarray}

\subsubsection{Dirichlet at midpoint \label{sec:cosND}}

Split string functions with Neumann boundary conditions at the end points
and Dirichlet boundary conditions at the midpoint 
\begin{equation}
l^{\prime }(0)=r^{\prime }(0)=0\,,\qquad l(\pi /2)=r(\pi /2)=\bar{\phi}%
\,(:=\phi (\pi /2))\,,
\end{equation}
have a Fourier expansion in terms of odd cosine modes $o=1,3,5,\cdots $ 
\begin{equation}
l(\sigma )=\bar{\phi}+\sqrt{2}\sum_{o=1}^{\infty }l_{o}\cos o\sigma \,,\quad
r(\sigma )=\bar{\phi}+\sqrt{2}\sum_{o=1}^{\infty }r_{o}\cos o\sigma \,.
\end{equation}
The correspondence between $\{\bar{\phi},l_{o},r_{o}\}$ and $\{\phi
_{e},\phi _{o}\}$ is 
\begin{eqnarray}
&&\bar{\phi}=\phi _{0}-\bar{w}\phi _{e}\,,~~~~~~l_{o}=\phi _{o}+R\phi
_{e}\,,~~~~~~r_{o}=-\phi _{o}+R\phi _{e}\,,  \label{eq:oddcos} \\
&&\phi _{0}=\bar{\phi}+{\frac{1}{2}}\bar{v}(l_{o}+r_{o})\,,~~\phi _{e}={%
\frac{1}{2}}T(l_{o}+r_{o})\,,~~\phi _{o}={\frac{1}{2}}(l_{o}-r_{o})\,,
\end{eqnarray}
where we used matrix notation for simplicity, and denoted 
\begin{eqnarray}
&&R_{oe} ={\frac{4}{\pi }}\int_{0}^{\frac{\pi }{2}}d\sigma \cos o\sigma
\left( \cos o\sigma -\cos \frac{e\pi }{2}\right) =\frac{4e^{2}\,i^{o-e+1}}
{\pi o(e^{2}-o^{2})}\,,\qquad\notag   \\
&&T_{eo} ={\frac{4}{\pi }}\int_{0}^{\frac{\pi }{2}}d\sigma \cos e\sigma \cos
o\sigma =\frac{4o\,i^{o-e+1}}{\pi (e^{2}-o^{2})}\,, \label{eq:wRTvinfty} \\
&&v_{o} =\frac{2\sqrt{2}\,i^{o-1}}{\pi o}{=}\frac{1}{\sqrt{2}}T_{0o}\,,
~~~~~~~~~~~
w_{e} =\sqrt{2}\,i^{-e+2}\,.\notag
\label{eq:wRTvinfty}
\end{eqnarray}

\subsubsection{Neumann at midpoint \label{sec:cosNN}}

Split string functions with Neumann boundary conditions at the end points
and Neumann boundary conditions at the midpoint 
\begin{equation}
l^{\prime }(0)=r^{\prime }(0)=0\,,\qquad l^{\prime }(\pi /2)=r^{\prime }(\pi
/2)=0\,,
\end{equation}
are expanded in terms of even cosine modes $e=2,4,6,\cdots $ 
\begin{equation}
l(\sigma )=\bar{\phi}+\sqrt{2}\sum_{e=2}^{\infty }l_{e}\left( \cos e\sigma
-i^{e}\right) \,,\quad r(\sigma )=\bar{\phi}+\sqrt{2}\sum_{e=2}^{\infty
}r_{e}\left( \cos e\sigma -i^{e}\right) \,.~~~~
\end{equation}
The correspondence between split string and full string modes is 
\begin{eqnarray}
&&\bar{\phi}=\phi _{0}-\bar{w}\phi _{e}\,,~~~~~~~l_{e}=\phi _{e}+T\phi
_{o}\,,~~~~~~~r_{e}=\phi _{e}-T\phi _{o}\,,  \label{eq:evencos} \\
&&\phi _{0}=\bar{\phi}+{\frac{1}{2}}\bar{w}(l_{e}+r_{e})\,,~~\phi _{e}={%
\frac{1}{2}}(l_{e}+r_{e})\,,~~\phi _{o}={\frac{1}{2}}R(l_{e}-r_{e})\,.
\end{eqnarray}

\subsubsection{Regularization \label{sec:cos_reg}}

The infinite matrices $T,R$ and vectors $v,w$ defined in Eq.(\ref
{eq:wRTvinfty}) satisfy the following relations 
\begin{equation}
R_{oe}=o^{-2}T_{eo}e^{2},\quad R_{oe}=T_{eo}+v_{o}w_{e},\quad
v_{o}=\sum_{e>0}T_{eo}w_{e},\quad w_{e}=\sum_{o>0}R_{oe}v_{e}\,.
\label{eq:infinite_def}
\end{equation}
As noted in \cite{BM1}, there is an ambiguity in naive computation using
these matrices and vectors. For example, $T$ has an inverse matrix given by $%
R,$ and yet it has a zero eigenvalue $Tv=0$. This is possible only because
they are infinite dimensional matrices. It causes associativity anomalies.
To avoid the ambiguous results that come from the associativity anomaly, a
finite matrix regularization is proposed in \cite{BM1}. We define $N\times N$
matrices $T,R$ and $N$-vectors $v,w$ by 
\begin{equation}
R_{oe}=\left( \kappa _{o}\right) ^{-2}\bar{T}_{oe}\left( \kappa _{e}\right)
^{2},\quad R_{oe}=\bar{T}_{oe}+v_{o}\bar{w}_{e},\quad v_{o}=\bar{T}%
_{oe}w_{e},\quad w_{e}=\bar{R}_{eo}v_{o}\,,  \label{define}
\end{equation}
where a bar means transpose, and we introduced a set of $2N$ frequencies $%
\kappa _{e},\kappa _{o}$. These relations are identical to the ones
satisfied by the infinite matrices in Eq.(\ref{eq:infinite_def}), but we now
use them as defining relations for finite dimensional matrices and arbitrary
frequencies. We can solve the equations in Eq.(\ref{define}) explicitly in
term of the frequencies 
\begin{eqnarray}
&&T_{eo}=\frac{w_{e}v_{o}\kappa _{o}^{2}}{\kappa _{e}^{2}-\kappa _{o}^{2}}\,,
\quad R_{oe}=\frac{w_{e}v_{o}\kappa _{e}^{2}}{\kappa _{e}^{2}-\kappa
_{o}^{2}}\,,  \label{TR_exp} \\
&&w_{e}={i^{2-e}}\frac{\prod_{o^{\prime }}\left| \kappa _{e}^{2}/\kappa
_{o^{\prime }}^{2}-1\right| ^{\frac{1}{2}}}{\prod_{e^{\prime }\neq e}\left|
\kappa _{e}^{2}/\kappa _{e^{\prime }}^{2}-1\right| ^{\frac{1}{2}}}\,,\quad
v_{o}={i^{o-1}}\frac{\prod_{e^{\prime }}\left| 1-\kappa _{o}^{2}/\kappa
_{e^{\prime }}^{2}\right| ^{\frac{1}{2}}}{\prod_{o^{\prime }\neq o}\left|
1-\kappa _{o}^{2}/\kappa _{o^{\prime }}^{2}\right| ^{\frac{1}{2}}}\,.
\label{wv_exp}
\end{eqnarray}
By using only the defining relations we can show the following further
relations for the regularized version of $T,R,v,w$. 
\begin{eqnarray}
&&TR=1_{e},\quad RT=1_{o},\quad \bar{R}R=1+w\bar{w},\quad \bar{T}T=1-v\bar{v}%
,  \notag \\
&&T\bar{T}=1-\frac{w\bar{w}}{1+\bar{w}w},\quad Tv=\frac{w}{1+\bar{w}w},\quad 
\bar{v}v=\frac{\bar{w}w}{1+\bar{w}w},  \label{relations} \\
&&Rw=v(1+\bar{w}w),\quad R\bar{R}=1+v\bar{v}\left( 1+\bar{w}w\right) . 
\notag
\end{eqnarray}
The original $T,R,v,w$ in Eq.(\ref{eq:wRTvinfty}) are reproduced by setting
the open string limit: 
\begin{equation}
\kappa _{e}=e\,,~~\kappa _{o}=o\,,~~N\rightarrow \infty \,.
\label{eq:openstringlimit}
\end{equation}
We note that at this limit $\bar{w}w$ diverges 
\begin{equation}
1+\bar{w}w=\left( \prod_{n=1}^{N}{\frac{\kappa _{2n}}{\kappa _{2n-1}}}%
\right) ^{2}~\rightarrow \left( \frac{\sqrt{\pi }\Gamma \left( N+1\right) }{%
\Gamma \left( N+\frac{1}{2}\right) }\right) ^{2}\rightarrow ~\infty \,.
\end{equation}

\subsection{Some results in matter sector {\label{sec:review}}}

Here we summarize notation and conventions in the matter sector in MSFT.%
\footnote{%
In this subsection, we use the same symbols for matter as we did for the
ghosts in the main text for some quantities, such as positions and momenta.
We can avoid confusion from the context. We omit some definitions and
details because we can refer to Ref.\cite{BM2} for them.}

\subsubsection{Oscillators in MSFT}

\begin{itemize}
\item  Mode expansion in matter sector ($\mu =0,1,\cdots ,d-1$): 
\begin{eqnarray}
X^{\mu }(\sigma ) &=&\hat{x}_{0}^{\mu }+\sqrt{2}\sum_{n=1}^{\infty }\hat{x}%
_{n}^{\mu }\cos n\sigma =\hat{x}_{0}^{\mu }+i\sqrt{2\alpha ^{\prime }}%
\sum_{n=1}^{\infty }{\frac{1}{n}}(\alpha _{n}^{\mu }-\alpha _{-n}^{\mu
})\cos n\sigma \,,  \label{position} \\
P_{\mu }(\sigma ) &=&{\frac{1}{\pi }}\left( \hat{p}_{0\mu }+\sqrt{2}%
\sum_{n=1}^{\infty }\hat{p}_{n\mu }\cos n\sigma \right) ={\frac{1}{\pi }}%
\left( \hat{p}_{0\mu }+{\frac{1}{\sqrt{2\alpha ^{\prime }}}}%
\sum_{n=1}^{\infty }\eta _{\mu \nu }(\alpha _{n}^{\nu }+\alpha _{-n}^{\nu
})\cos n\sigma \right) \,.  \notag
\end{eqnarray}
Nonzero modes in matter sector 
\begin{eqnarray}
&&\alpha _{n}^{\mu }=\sqrt{\kappa _{n}}\hat{a}_{n}^{\mu }\,,\ \alpha
_{-n}^{\mu }=\sqrt{\kappa _{n}}\hat{a}_{n}^{\dagger \mu }\,,\ \ [\alpha
_{n}^{\mu },\alpha _{m}^{\nu }]=\epsilon (n)\kappa _{n}\delta _{n+m,0}\eta
